"parameter","Penh"
NA,0.45
NA,0.48
NA,0.44
NA,0.45
NA,0.35
NA,0.44
NA,0.81
NA,0.43
NA,0.42
NA,0.43
NA,0.47
NA,0.4
NA,0.35
NA,0.5
NA,0.31
NA,0.3
NA,0.36
NA,0.63
NA,0.3
NA,0.37
NA,0.47
NA,0.61
NA,0.9
NA,0.44
NA,0.32
NA,0.4
NA,0.32
"a1 12.5",NA
NA,NA
NA,0.49
NA,NA
"a2 12.5",NA
NA,0.45
NA,0.53
NA,0.49
NA,0.53
NA,0.47
NA,0.66
NA,0.53
NA,0.46
NA,0.43
NA,0.43
NA,0.69
NA,0.51
NA,0.49
NA,0.35
NA,0.45
NA,0.31
NA,0.67
NA,0.6
NA,0.46
NA,0.59
NA,0.76
NA,0.33
NA,0.37
NA,0.44
NA,0.53
NA,0.39
NA,0.42
NA,0.44
NA,0.61
NA,0.73
"a2 12.5",NA
NA,NA
NA,0.7
NA,NA
"a3 12.5",NA
NA,0.58
NA,0.49
NA,0.6
NA,0.37
NA,0.44
NA,0.54
NA,0.45
NA,0.4
NA,0.39
NA,0.34
NA,0.48
NA,0.69
NA,0.52
NA,0.54
NA,0.65
NA,0.46
NA,0.57
NA,0.64
NA,0.53
NA,0.57
NA,0.45
NA,0.56
NA,0.38
NA,0.37
NA,0.39
NA,0.33
NA,0.35
NA,0.49
NA,0.64
NA,0.74
"a3 12.5",NA
NA,NA
NA,0.63
NA,NA
"a4 12.5",NA
NA,0.59
NA,0.59
NA,0.51
NA,0.6
NA,0.9
NA,0.81
NA,0.63
NA,0.52
NA,0.35
NA,0.29
NA,0.43
NA,0.76
NA,0.89
NA,0.55
NA,0.88
NA,1.01
NA,1.08
NA,0.65
NA,0.71
NA,0.48
NA,0.52
NA,0.46
NA,0.5
NA,0.52
NA,0.69
NA,0.57
NA,0.39
NA,0.44
NA,0.58
NA,0.48
"a4 12.5",NA
NA,NA
NA,1.43
NA,NA
"a1 50",NA
NA,1.88
NA,1.47
NA,1.25
NA,1.33
NA,0.74
NA,1.02
NA,1.21
NA,1.07
NA,1.36
NA,1.62
NA,1.4
NA,1.18
NA,1.11
NA,1.09
NA,1.16
NA,0.89
NA,1.18
NA,1.29
NA,0.98
NA,1.13
NA,1.03
NA,1.02
NA,0.81
NA,1.65
NA,1.3
NA,0.59
NA,0.73
NA,0.74
NA,0.98
NA,0.81
"a1 50",NA
NA,NA
NA,1.83
NA,NA
"a2 50",NA
NA,2.88
NA,2.67
NA,2.75
NA,1.48
NA,1.99
NA,2.35
NA,2.44
NA,2.92
NA,1.83
NA,1.58
NA,1.47
NA,1.45
NA,1.6
NA,2.35
NA,3.04
NA,2.74
NA,2.92
NA,3.25
NA,3.06
NA,3.26
NA,2.32
NA,2.8
NA,3.01
NA,2.64
NA,3.6
NA,2.63
NA,3.32
NA,2.84
NA,2.08
NA,2.1
NA,1.26
"a2 50",NA
NA,NA
